name,compound,areal_density,mu_E,sig_E
Fe01,Fe,20.053,49.856776333333336,0.5159623836158559
Al01Front,Al,1.535,49.699305,0.5035820856374857
Th01,Th,17.151,49.607655666666666,0.5082367467705271
Al01Back,Al,1.535,49.51590233333334,0.5049041979701584
Cu01,Cu,22.251,49.349515333333336,0.5214168183244146
Al01_Degrader,Al,415.0,45.56535673333333,2.347847545605974
Fe02,Fe,20.111,41.62145366666667,0.5940887757901918
Al02Front,Al,1.532,41.440026333333336,0.5803375103965125
Th02,Th,17.166,41.33566833333334,0.5858243508059581
Al02Back,Al,1.532,41.23121066666667,0.5824304487400668
Cu02,Cu,22.054,41.04166266666667,0.6015331707724484
Al02_Degrader,Al,261.5,38.23359653846154,1.7804453190541591
Fe03,Fe,19.975,35.323171,0.6746367205830113
Al03Front,Al,1.545,35.11872266666666,0.6600559030008157
Th03,Th,17.37,35.00002500000001,0.6665685256408377
Al03Back,Al,1.545,34.88133233333334,0.6631837238311534
Cu03,Cu,22.235,34.66431466666666,0.6859719311445784
Al03_Degrader,Al,68.3,33.695690799999994,0.8727264581730979
Al03b_Degrader,Al,68.3,32.123238400000005,0.9060760987717533
Fe04,Fe,20.29,31.108838000000002,0.7446245741463725
Al04Front,Al,1.546,30.880362,0.7289564337388986
Th04,Th,17.51,30.749706333333332,0.736786998003192
Al04Back,Al,1.546,30.618746333333334,0.7332676921287947
Cu04,Cu,22.21,30.379309666666664,0.7591207919515985
