name,compound,areal_density,mu_E,sig_E
Fe01,Fe,20.053,54.76252366666667,0.5618733467368089
Al01Front,Al,1.535,54.615904666666665,0.5522111084041039
Th01,Th,17.151,54.53029500000001,0.5560468322377772
Al01Back,Al,1.535,54.444644000000004,0.5534893373835971
Cu01,Cu,22.251,54.28985433333333,0.5667071543409543
Al01_Degrader,Al,415.0,50.80270941666667,2.2112311108809934
Fe02,Fe,20.111,47.19858266666667,0.6312484913509805
Al02Front,Al,1.532,47.033815000000004,0.6207798421676293
Th02,Th,17.166,46.93837066666667,0.6251073709954865
Al02Back,Al,1.532,46.842855666666665,0.6225766821588236
Cu02,Cu,22.054,46.67092433333334,0.6373640029642054
Al02_Degrader,Al,261.5,44.1516606,1.6593451366149359
Fe03,Fe,19.975,41.56533100000001,0.6965842809301686
Al03Front,Al,1.545,41.384804333333335,0.6857880807615102
Th03,Th,17.37,41.27908733333334,0.6909153303453487
Al03Back,Al,1.545,41.17331333333334,0.688255055791254
Cu03,Cu,22.235,40.981930000000006,0.7054316941419629
Al03_Degrader,Al,68.3,40.1344955,0.8626633529249692
Al03b_Degrader,Al,68.3,38.77083300000001,0.8864090399533394
Fe04,Fe,20.29,37.897175666666676,0.7487016916911722
Al04Front,Al,1.546,37.70058266666666,0.7370368108171776
Th04,Th,17.51,37.58685233333333,0.7428220999637505
Al04Back,Al,1.546,37.47306100000001,0.7403005855364881
Cu04,Cu,22.21,37.26761233333333,0.7592041265131243
