compound,thickness,areal_density,name
SS_316,,100.199,SS1 
Ni,,22.772,Ni01
Ir,,55.174,Ir01
Cu,,22.338,Cu01
Fe,,20.030,Fe01
Ni,,23.118,Ni02
Ir,,55.601,Ir02
Cu,,22.325,Cu02
Fe,,20.017,Fe02
Ni,,22.338,Ni03
Ir,,55.643,Ir03
Cu,,22.313,Cu03
Fe,,19.948,Fe03
Ni,,20.704,Ni04
Ir,,56.000,Ir04
Cu,,22.284,Cu04
Ni,,21.768,Ni05
Ir,,55.161,Ir05
Cu,,22.443,Cu05
Ni,,22.861,Ni06
Ir,,55.731,Ir06
Cu,,22.396,Cu06
Ni,,23.092,Ni07
Ir,,56.685,Ir07
Cu,,22.320,Cu07
Ni,,22.409,Ni08
Ir,,58.030,Ir08
Cu,,22.401,Cu08
Ni,,21.741,Ni09
Ir,,56.669,Ir09
Cu,,22.425,Cu09
Ni,,23.093,Ni10
Ir,,55.065,Ir10
Cu,,22.314,Cu10
SS_316,,100.865,SS2















