#ZVView-data-copy:  15-Feb-2023 18:49:49
#=======================================
#
#name:   29-CU-0(P,X)30-ZN-62,,SIG
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  4
#ldata:  403
#data...
#            X         +-dX            Y         +-dY  # Comments...
#          MeV          MeV        barns        barns  # Year,Author(s)           ## EXFOR-ID
            11          4.2       0.0024      0.00042  # 1987,V.N.Aleksandrov+    ## A0351002  #dY:17.5%
          12.9         1.05     0.000486       3.7e-5  # 1997,R.Michel+           ## O0276139  #dY:7.6%
          13.1          0.5       0.3297        0.033  # 2006,F.S.Al-Saleh+       ## D0422002  #dY:10.0%
         13.76          0.5      0.00142       0.0001  # 2020,J.Cervenak+         ## D0985009  #dY:7.0%
         13.76          0.5      0.00152      0.00011  # 2020,J.Cervenak+         ## D0985009  #dY:7.2%
         13.87            1       0.0085      0.00069  # 2006,E.Z.Buthelezi+      ## O1424003  #dY:8.1%
         14.05         0.45      0.00203      0.00013  # 1985,P.Kopecky           ## A0333003  #dY:6.4%
          14.2          0.5       0.0007       0.0001  # 2006,F.S.Al-Saleh+       ## D0422002  #dY:14.3%
          14.2          1.1      0.00595      0.00091  # 1999,A.Hermanne+         ## D4088006  #dY:15.3%
          14.3          0.5       0.0063       0.0005  # 2015,M.Shahid+           ## D7015002  #dY:7.9%
         14.35         0.41      0.00561      0.00044  # 2021,B.Liu+              ## S0270006  #dY:7.8%
          14.8          0.5       0.0068       0.0007  # 2006,F.S.Al-Saleh+       ## D0422002  #dY:10.3%
         14.84         0.35        0.008       0.0006  # 2009,T.Siiskonen+        ## D0549002  #dY:7.5%
          14.9          0.2       0.0063       0.0008  # 2001,F.Szelecsenyi+      ## D4083003  #dY:12.7%
            15          0.5       0.0039       0.0004  # 2006,F.S.Al-Saleh+       ## D0422002  #dY:10.3%
            15         1.01       0.0192     0.000989  # 1997,R.Michel+           ## O0276139  #dY:5.2%
         15.18         0.45      0.00975       0.0006  # 1985,P.Kopecky           ## A0333003  #dY:6.2%
         15.28         0.48      0.01189      0.00144  # 2002,S.Takacs+           ## D4106004  #dY:12.1%
         15.34        0.245       0.0192        0.002  # 2013,J.R.Griswold+       ## C2048004  #dY:10.4%
         15.35         0.65      0.01251      0.00144  # 2002,S.Takacs+           ## D4106004  #dY:11.5%
         15.44         0.45       0.0158       0.0011  # 2020,J.Cervenak+         ## D0985009  #dY:7.0%
         15.44         0.45       0.0163       0.0011  # 2020,J.Cervenak+         ## D0985009  #dY:6.7%
          15.5          0.2       0.0139       0.0016  # 2001,F.Szelecsenyi+      ## D4083003  #dY:11.5%
          15.6          0.5       0.0072       0.0007  # 2006,F.S.Al-Saleh+       ## D0422002  #dY:9.7%
          15.6          0.9       0.0148       0.0021  # 2007,M.U.Khandaker+      ## D0446016  #dY:14.2%
         15.78         0.35       0.0234      0.00175  # 2021,B.Liu+              ## S0270006  #dY:7.5%
          15.8            1       0.0153       0.0019  # 1999,A.Hermanne+         ## D4088006  #dY:12.4%
          15.8        0.987       0.0275      0.00142  # 1997,R.Michel+           ## O0276139  #dY:5.2%
          16.1         0.34      0.01944    0.0005832  # 1982,A.Gruetter          ## D0505005  #dY:3.0%
          16.1          0.2       0.0207       0.0024  # 2001,F.Szelecsenyi+      ## D4083003  #dY:11.6%
          16.2          0.8       0.0141       0.0021  # 2007,M.U.Khandaker+      ## D0446016  #dY:14.9%
         16.26         0.45       0.0211       0.0011  # 1985,P.Kopecky           ## A0333003  #dY:5.2%
          16.3            0       0.0267       0.0022  # 1992,S.J.Mills+          ## A0507002  #dY:8.2%
         16.41         0.45      0.02207      0.00256  # 2002,S.Takacs+           ## D4106004  #dY:11.6%
         16.45          0.3        0.027        0.002  # 2009,T.Siiskonen+        ## D0549002  #dY:7.4%
          16.5          0.5       0.0223       0.0022  # 2006,F.S.Al-Saleh+       ## D0422002  #dY:9.9%
          16.6          0.1        0.028       0.0032  # 2001,F.Szelecsenyi+      ## D4083003  #dY:11.4%
          16.7        0.968       0.0348      0.00178  # 1997,R.Michel+           ## O0276139  #dY:5.1%
         16.72         0.62      0.02885      0.00327  # 2002,S.Takacs+           ## D4106004  #dY:11.3%
         16.76            1       0.0342       0.0024  # 2006,E.Z.Buthelezi+      ## O1424003  #dY:7.0%
         16.99          0.4       0.0321       0.0022  # 2020,J.Cervenak+         ## D0985009  #dY:6.9%
         16.99          0.4       0.0325       0.0023  # 2020,J.Cervenak+         ## D0985009  #dY:7.1%
            17          0.4       0.0212       0.0021  # 2006,F.S.Al-Saleh+       ## D0422002  #dY:9.9%
         17.12         0.29      0.03846      0.00288  # 2021,B.Liu+              ## S0270006  #dY:7.5%
          17.2          0.1       0.0341       0.0039  # 2001,F.Szelecsenyi+      ## D4083003  #dY:11.4%
         17.28         0.45       0.0297       0.0016  # 1985,P.Kopecky           ## A0333003  #dY:5.4%
          17.3            1       0.0252       0.0032  # 1999,A.Hermanne+         ## D4088006  #dY:12.7%
          17.3          0.4       0.0307        0.002  # 2015,M.Shahid+           ## D7015002  #dY:6.5%
          17.4        0.947       0.0417      0.00216  # 1997,R.Michel+           ## O0276139  #dY:5.2%
         17.48         0.42      0.03416      0.00391  # 2002,S.Takacs+           ## D4106004  #dY:11.4%
          17.5          0.4       0.0308       0.0031  # 2006,F.S.Al-Saleh+       ## D0422002  #dY:10.1%
          17.7         0.34       0.0324     0.000972  # 1982,A.Gruetter          ## D0505005  #dY:3.0%
          17.7          0.1       0.0397       0.0045  # 2001,F.Szelecsenyi+      ## D4083003  #dY:11.3%
          17.9        0.937       0.0401      0.00286  # 1997,R.Michel+           ## O0276139  #dY:7.1%
         18.01         0.59      0.04041      0.00457  # 2002,S.Takacs+           ## D4106004  #dY:11.3%
          18.2         0.94       0.0473      0.00245  # 1997,R.Michel+           ## O0276139  #dY:5.2%
         18.25         0.45       0.0379        0.002  # 1985,P.Kopecky           ## A0333003  #dY:5.3%
          18.3          0.4       0.0378       0.0038  # 2006,F.S.Al-Saleh+       ## D0422002  #dY:10.1%
         18.38         0.22      0.04952      0.00371  # 2021,B.Liu+              ## S0270006  #dY:7.5%
          18.4          0.4       0.0344       0.0034  # 2006,F.S.Al-Saleh+       ## D0422002  #dY:9.9%
         18.46         0.36       0.0458       0.0032  # 2020,J.Cervenak+         ## D0985009  #dY:7.0%
         18.46         0.36       0.0471       0.0033  # 2020,J.Cervenak+         ## D0985009  #dY:7.0%
         18.51         0.39      0.04442      0.00506  # 2002,S.Takacs+           ## D4106004  #dY:11.4%
          18.7          0.9       0.0376       0.0046  # 1999,A.Hermanne+         ## D4088006  #dY:12.2%
          18.9          0.4       0.0463       0.0046  # 2006,F.S.Al-Saleh+       ## D0422002  #dY:9.9%
         19.18         0.45       0.0452       0.0023  # 1985,P.Kopecky           ## A0333003  #dY:5.1%
         19.24         0.57      0.05222       0.0059  # 2002,S.Takacs+           ## D4106004  #dY:11.3%
         19.31            1       0.0544       0.0039  # 2006,E.Z.Buthelezi+      ## O1424003  #dY:7.2%
          19.4          0.4       0.0485       0.0049  # 2006,F.S.Al-Saleh+       ## D0422002  #dY:10.1%
         19.49         0.37      0.05465       0.0062  # 2002,S.Takacs+           ## D4106004  #dY:11.3%
          19.5          0.7       0.0437       0.0046  # 2007,M.U.Khandaker+      ## D0446016  #dY:10.5%
          19.7        0.909       0.0584        0.003  # 1997,R.Michel+           ## O0276139  #dY:5.1%
         19.86         0.33       0.0559       0.0039  # 2020,J.Cervenak+         ## D0985009  #dY:7.0%
         19.86         0.33       0.0577        0.004  # 2020,J.Cervenak+         ## D0985009  #dY:6.9%
          19.9          0.4       0.0525       0.0034  # 2015,M.Shahid+           ## D7015002  #dY:6.5%
            20          0.9       0.0482       0.0059  # 1999,A.Hermanne+         ## D4088006  #dY:12.2%
         20.08         0.45       0.0495       0.0026  # 1985,P.Kopecky           ## A0333003  #dY:5.3%
          20.2          0.4       0.0463       0.0046  # 2006,F.S.Al-Saleh+       ## D0422002  #dY:9.9%
