natCu(p,x)63Zn


	fit	fit
Energy	Pade	Uncert.	Phys. yield	Phys. yield	1 h irrad.
MeV	mb	mb	(MBq/uAh)	(mCi/uAh)	(MBq/uA)
4.0	0.01	0.001	1.12E-03	3.02E-05	6.80E-04
4.1	0.11	0.01	1.45E-02	3.91E-04	8.80E-03
4.2	2.20	0.22	2.97E-01	8.04E-03	1.81E-01
4.3	6.09	0.61	1.09E+00	2.94E-02	6.61E-01
4.4	11.54	1.15	2.61E+00	7.05E-02	1.59E+00
4.5	18.25	1.82	5.06E+00	1.37E-01	3.08E+00
4.6	25.83	2.58	8.57E+00	2.32E-01	5.21E+00
4.7	34.01	3.40	1.33E+01	3.59E-01	8.08E+00
4.8	42.56	4.26	1.93E+01	5.20E-01	1.17E+01
4.9	51.23	5.12	2.65E+01	7.17E-01	1.62E+01
5.0	59.80	3.58	3.52E+01	9.51E-01	2.14E+01
5.1	68.07	4.08	4.52E+01	1.22E+00	2.75E+01
5.2	76.00	4.55	5.64E+01	1.52E+00	3.43E+01
5.3	83.62	5.01	6.90E+01	1.86E+00	4.20E+01
5.4	90.92	5.45	8.28E+01	2.24E+00	5.04E+01
5.5	97.92	5.87	9.78E+01	2.64E+00	5.95E+01
5.6	104.63	6.27	1.14E+02	3.09E+00	6.95E+01
5.7	111.07	6.65	1.32E+02	3.56E+00	8.01E+01
5.8	117.23	7.02	1.50E+02	4.06E+00	9.15E+01
5.9	123.14	7.38	1.70E+02	4.60E+00	1.04E+02
6.0	128.81	6.56	1.91E+02	5.18E+00	1.17E+02
6.1	134.24	6.83	2.14E+02	5.78E+00	1.30E+02
6.2	139.45	7.10	2.37E+02	6.41E+00	1.44E+02
6.3	144.48	7.36	2.62E+02	7.07E+00	1.59E+02
6.4	149.32	7.60	2.87E+02	7.76E+00	1.75E+02
6.5	154.02	7.84	3.14E+02	8.49E+00	1.91E+02
6.6	158.58	8.07	3.42E+02	9.23E+00	2.08E+02
6.7	163.03	8.30	3.71E+02	1.00E+01	2.25E+02
6.8	167.38	8.52	4.00E+02	1.08E+01	2.44E+02
6.9	171.67	8.74	4.31E+02	1.17E+01	2.62E+02
7.0	175.90	8.36	4.64E+02	1.25E+01	2.82E+02
7.1	180.10	8.56	4.97E+02	1.34E+01	3.02E+02
7.2	184.27	8.76	5.31E+02	1.44E+01	3.23E+02
7.3	188.42	8.96	5.67E+02	1.53E+01	3.45E+02
7.4	192.54	9.15	6.03E+02	1.63E+01	3.67E+02
7.5	196.66	9.35	6.41E+02	1.73E+01	3.90E+02
7.6	200.76	9.54	6.80E+02	1.84E+01	4.14E+02
7.7	204.85	9.74	7.20E+02	1.95E+01	4.38E+02
7.8	208.94	9.93	7.61E+02	2.06E+01	4.63E+02
7.9	213.03	10.13	8.04E+02	2.17E+01	4.89E+02
8.0	217.12	10.22	8.47E+02	2.29E+01	5.16E+02
8.1	221.22	10.41	8.92E+02	2.41E+01	5.43E+02
8.2	225.33	10.60	9.38E+02	2.54E+01	5.71E+02
8.3	229.44	10.80	9.85E+02	2.66E+01	6.00E+02
8.4	233.56	10.99	1.03E+03	2.80E+01	6.29E+02
8.5	237.68	11.19	1.08E+03	2.93E+01	6.60E+02
8.6	241.81	11.38	1.14E+03	3.07E+01	6.91E+02
8.7	245.94	11.57	1.19E+03	3.21E+01	7.23E+02
8.8	250.07	11.77	1.24E+03	3.36E+01	7.56E+02
8.9	254.20	11.96	1.30E+03	3.51E+01	7.89E+02
9.0	258.34	12.17	1.35E+03	3.66E+01	8.24E+02
9.1	262.47	12.37	1.41E+03	3.81E+01	8.59E+02
9.2	266.60	12.56	1.47E+03	3.97E+01	8.95E+02
9.3	270.71	12.75	1.53E+03	4.14E+01	9.32E+02
9.4	274.80	12.95	1.59E+03	4.31E+01	9.70E+02
9.5	278.86	13.14	1.66E+03	4.48E+01	1.01E+03
9.6	282.89	13.33	1.72E+03	4.65E+01	1.05E+03
9.7	286.88	13.52	1.79E+03	4.83E+01	1.09E+03
9.8	290.81	13.70	1.86E+03	5.02E+01	1.13E+03
9.9	294.69	13.89	1.93E+03	5.20E+01	1.17E+03
10.0	298.51	14.03	2.00E+03	5.39E+01	1.21E+03
10.1	302.26	14.21	2.07E+03	5.59E+01	1.26E+03
10.2	305.92	14.38	2.14E+03	5.79E+01	1.30E+03
10.3	309.49	14.55	2.22E+03	5.99E+01	1.35E+03
10.4	312.95	14.71	2.29E+03	6.19E+01	1.39E+03
10.5	316.29	14.87	2.37E+03	6.40E+01	1.44E+03
10.6	319.49	15.02	2.45E+03	6.62E+01	1.49E+03
10.7	322.54	15.16	2.53E+03	6.83E+01	1.54E+03
10.8	325.44	15.30	2.61E+03	7.05E+01	1.59E+03
10.9	328.16	15.43	2.69E+03	7.28E+01	1.64E+03
11.0	330.69	15.55	2.78E+03	7.50E+01	1.69E+03
11.1	333.03	15.66	2.86E+03	7.73E+01	1.74E+03
11.2	335.16	15.76	2.95E+03	7.96E+01	1.79E+03
11.3	337.06	15.85	3.03E+03	8.20E+01	1.85E+03
11.4	338.73	15.92	3.12E+03	8.44E+01	1.90E+03
11.5	340.15	15.99	3.21E+03	8.68E+01	1.95E+03
11.6	341.31	16.05	3.30E+03	8.92E+01	2.01E+03
11.7	342.21	16.09	3.39E+03	9.17E+01	2.06E+03
11.8	342.82	16.12	3.48E+03	9.42E+01	2.12E+03
11.9	343.14	16.13	3.58E+03	9.66E+01	2.18E+03
12.0	343.15	16.17	3.67E+03	9.92E+01	2.23E+03
12.1	342.85	16.15	3.76E+03	1.02E+02	2.29E+03
12.2	342.23	16.13	3.86E+03	1.04E+02	2.35E+03
12.3	341.30	16.08	3.95E+03	1.07E+02	2.40E+03
12.4	340.06	16.02	4.04E+03	1.09E+02	2.46E+03
12.5	338.50	15.95	4.14E+03	1.12E+02	2.52E+03
12.6	336.64	15.86	4.23E+03	1.14E+02	2.58E+03
12.7	334.47	15.76	4.33E+03	1.17E+02	2.63E+03
12.8	331.99	15.64	4.42E+03	1.19E+02	2.69E+03
12.9	329.20	15.51	4.51E+03	1.22E+02	2.75E+03
13.0	326.11	15.37	4.61E+03	1.25E+02	2.80E+03
13.1	322.72	15.21	4.70E+03	1.27E+02	2.86E+03
13.2	319.05	15.03	4.79E+03	1.30E+02	2.92E+03
13.3	315.10	14.85	4.89E+03	1.32E+02	2.97E+03
13.4	310.91	14.65	4.98E+03	1.35E+02	3.03E+03
13.5	306.47	14.44	5.07E+03	1.37E+02	3.08E+03
13.6	301.82	14.22	5.16E+03	1.39E+02	3.14E+03
13.7	296.96	13.99	5.25E+03	1.42E+02	3.19E+03
13.8	291.92	13.75	5.33E+03	1.44E+02	3.25E+03
13.9	286.70	13.51	5.42E+03	1.46E+02	3.30E+03
14.0	281.33	13.44	5.50E+03	1.49E+02	3.35E+03
14.1	275.82	13.17	5.59E+03	1.51E+02	3.40E+03
14.2	270.19	12.90	5.67E+03	1.53E+02	3.45E+03
14.3	264.46	12.63	5.75E+03	1.55E+02	3.50E+03
14.4	258.63	12.35	5.83E+03	1.58E+02	3.55E+03
14.5	252.74	12.07	5.91E+03	1.60E+02	3.60E+03
14.6	246.80	11.79	5.99E+03	1.62E+02	3.64E+03
14.7	240.83	11.50	6.06E+03	1.64E+02	3.69E+03
14.8	234.83	11.22	6.14E+03	1.66E+02	3.74E+03
14.9	228.84	10.93	6.21E+03	1.68E+02	3.78E+03
15.0	222.86	10.64	6.28E+03	1.70E+02	3.82E+03
15.1	216.92	10.36	6.35E+03	1.72E+02	3.87E+03
15.2	211.02	10.08	6.42E+03	1.73E+02	3.91E+03
15.3	205.17	9.80	6.49E+03	1.75E+02	3.95E+03
15.4	199.38	9.52	6.55E+03	1.77E+02	3.99E+03
15.5	193.66	9.25	6.61E+03	1.79E+02	4.03E+03
15.6	188.01	8.98	6.68E+03	1.80E+02	4.06E+03
15.7	182.45	8.71	6.74E+03	1.82E+02	4.10E+03
15.8	176.98	8.45	6.79E+03	1.84E+02	4.13E+03
15.9	171.60	8.20	6.85E+03	1.85E+02	4.17E+03
16.0	166.34	7.94	6.91E+03	1.87E+02	4.20E+03
16.1	161.19	7.69	6.96E+03	1.88E+02	4.24E+03
16.2	156.15	7.45	7.01E+03	1.90E+02	4.27E+03
16.3	151.24	7.22	7.07E+03	1.91E+02	4.30E+03
16.4	146.44	6.99	7.12E+03	1.92E+02	4.33E+03
16.5	141.76	6.76	7.16E+03	1.94E+02	4.36E+03
16.6	137.20	6.55	7.21E+03	1.95E+02	4.39E+03
16.7	132.76	6.33	7.26E+03	1.96E+02	4.42E+03
16.8	128.44	6.13	7.30E+03	1.97E+02	4.44E+03
16.9	124.25	5.93	7.35E+03	1.99E+02	4.47E+03
17.0	120.18	5.73	7.39E+03	2.00E+02	4.50E+03
17.1	116.23	5.54	7.43E+03	2.01E+02	4.52E+03
17.2	112.40	5.36	7.47E+03	2.02E+02	4.55E+03
17.3	108.69	5.19	7.51E+03	2.03E+02	4.57E+03
17.4	105.09	5.01	7.54E+03	2.04E+02	4.59E+03
17.5	101.62	4.85	7.58E+03	2.05E+02	4.61E+03
17.6	98.25	4.69	7.62E+03	2.06E+02	4.64E+03
17.7	95.00	4.53	7.65E+03	2.07E+02	4.66E+03
17.8	91.85	4.38	7.68E+03	2.08E+02	4.68E+03
17.9	88.81	4.24	7.72E+03	2.09E+02	4.70E+03
18.0	85.88	4.10	7.75E+03	2.09E+02	4.71E+03
18.1	83.05	3.96	7.78E+03	2.10E+02	4.73E+03
18.2	80.31	3.83	7.81E+03	2.11E+02	4.75E+03
18.3	77.68	3.71	7.84E+03	2.12E+02	4.77E+03
18.4	75.14	3.58	7.86E+03	2.13E+02	4.79E+03
18.5	72.69	3.47	7.89E+03	2.13E+02	4.80E+03
18.6	70.33	3.36	7.92E+03	2.14E+02	4.82E+03
18.7	68.06	3.25	7.94E+03	2.15E+02	4.83E+03
18.8	65.87	3.14	7.97E+03	2.15E+02	4.85E+03
18.9	63.76	3.04	7.99E+03	2.16E+02	4.86E+03
19.0	61.74	2.95	8.02E+03	2.17E+02	4.88E+03
19.1	59.79	2.85	8.04E+03	2.17E+02	4.89E+03
19.2	57.92	2.76	8.06E+03	2.18E+02	4.91E+03
19.3	56.12	2.68	8.08E+03	2.18E+02	4.92E+03
19.4	54.39	2.60	8.10E+03	2.19E+02	4.93E+03
19.5	52.74	2.52	8.12E+03	2.20E+02	4.94E+03
19.6	51.15	2.44	8.14E+03	2.20E+02	4.96E+03
19.7	49.62	2.37	8.16E+03	2.21E+02	4.97E+03
19.8	48.16	2.30	8.18E+03	2.21E+02	4.98E+03
19.9	46.75	2.23	8.20E+03	2.22E+02	4.99E+03
20.0	45.41	2.16	8.22E+03	2.22E+02	5.00E+03
20.1	44.12	2.10	8.24E+03	2.23E+02	5.01E+03
20.2	42.89	2.04	8.25E+03	2.23E+02	5.02E+03
20.3	41.72	1.99	8.27E+03	2.24E+02	5.03E+03
20.4	40.59	1.93	8.29E+03	2.24E+02	5.04E+03
20.5	39.52	1.88	8.30E+03	2.24E+02	5.05E+03
20.6	38.49	1.83	8.32E+03	2.25E+02	5.06E+03
20.7	37.51	1.79	8.33E+03	2.25E+02	5.07E+03
20.8	36.58	1.74	8.35E+03	2.26E+02	5.08E+03
20.9	35.69	1.70	8.36E+03	2.26E+02	5.09E+03
21.0	34.85	1.66	8.38E+03	2.26E+02	5.10E+03
21.1	34.05	1.62	8.39E+03	2.27E+02	5.11E+03
21.2	33.29	1.58	8.40E+03	2.27E+02	5.12E+03
21.3	32.57	1.55	8.42E+03	2.28E+02	5.12E+03
21.4	31.88	1.52	8.43E+03	2.28E+02	5.13E+03
21.5	31.24	1.49	8.44E+03	2.28E+02	5.14E+03
21.6	30.63	1.46	8.46E+03	2.29E+02	5.15E+03
21.7	30.05	1.43	8.47E+03	2.29E+02	5.15E+03
21.8	29.52	1.40	8.48E+03	2.29E+02	5.16E+03
21.9	29.01	1.38	8.50E+03	2.30E+02	5.17E+03
22.0	28.53	1.36	8.51E+03	2.30E+02	5.18E+03
22.1	28.09	1.34	8.52E+03	2.30E+02	5.18E+03
22.2	27.68	1.32	8.53E+03	2.31E+02	5.19E+03
22.3	27.30	1.30	8.54E+03	2.31E+02	5.20E+03
22.4	26.94	1.28	8.55E+03	2.31E+02	5.21E+03
22.5	26.62	1.27	8.57E+03	2.32E+02	5.21E+03
22.6	26.32	1.25	8.58E+03	2.32E+02	5.22E+03
22.7	26.05	1.24	8.59E+03	2.32E+02	5.23E+03
22.8	25.80	1.23	8.60E+03	2.32E+02	5.23E+03
22.9	25.58	1.22	8.61E+03	2.33E+02	5.24E+03
23.0	25.38	1.21	8.62E+03	2.33E+02	5.25E+03
23.1	25.21	1.20	8.63E+03	2.33E+02	5.25E+03
23.2	25.06	1.19	8.64E+03	2.34E+02	5.26E+03
23.3	24.94	1.19	8.66E+03	2.34E+02	5.27E+03
23.4	24.83	1.18	8.67E+03	2.34E+02	5.27E+03
23.5	24.75	1.18	8.68E+03	2.35E+02	5.28E+03
23.6	24.69	1.18	8.69E+03	2.35E+02	5.29E+03
23.7	24.65	1.17	8.70E+03	2.35E+02	5.29E+03
23.8	24.63	1.17	8.71E+03	2.35E+02	5.30E+03
23.9	24.62	1.17	8.72E+03	2.36E+02	5.31E+03
24.0	24.64	1.17	8.73E+03	2.36E+02	5.32E+03
24.1	24.68	1.17	8.74E+03	2.36E+02	5.32E+03
24.2	24.73	1.18	8.76E+03	2.37E+02	5.33E+03
24.3	24.80	1.18	8.77E+03	2.37E+02	5.34E+03
24.4	24.89	1.18	8.78E+03	2.37E+02	5.34E+03
24.5	25.00	1.19	8.79E+03	2.38E+02	5.35E+03
24.6	25.12	1.20	8.80E+03	2.38E+02	5.36E+03
24.7	25.25	1.20	8.81E+03	2.38E+02	5.36E+03
24.8	25.41	1.21	8.83E+03	2.39E+02	5.37E+03
24.9	25.57	1.22	8.84E+03	2.39E+02	5.38E+03
25.0	25.75	1.31	8.85E+03	2.39E+02	5.39E+03
25.1	25.95	1.32	8.86E+03	2.40E+02	5.39E+03
25.2	26.16	1.33	8.87E+03	2.40E+02	5.40E+03
25.3	26.38	1.34	8.89E+03	2.40E+02	5.41E+03
25.4	26.62	1.35	8.90E+03	2.41E+02	5.42E+03
25.5	26.87	1.36	8.91E+03	2.41E+02	5.42E+03
25.6	27.13	1.38	8.93E+03	2.41E+02	5.43E+03
25.7	27.40	1.39	8.94E+03	2.42E+02	5.44E+03
25.8	27.69	1.40	8.95E+03	2.42E+02	5.45E+03
25.9	27.98	1.42	8.96E+03	2.42E+02	5.46E+03
26.0	28.29	1.43	8.98E+03	2.43E+02	5.46E+03
26.1	28.60	1.45	8.99E+03	2.43E+02	5.47E+03
26.2	28.93	1.47	9.01E+03	2.43E+02	5.48E+03
26.3	29.26	1.48	9.02E+03	2.44E+02	5.49E+03
26.4	29.61	1.50	9.04E+03	2.44E+02	5.50E+03
26.5	29.96	1.52	9.05E+03	2.45E+02	5.51E+03
26.6	30.32	1.54	9.07E+03	2.45E+02	5.52E+03
26.7	30.69	1.56	9.08E+03	2.45E+02	5.53E+03
26.8	31.07	1.58	9.10E+03	2.46E+02	5.54E+03
26.9	31.45	1.60	9.11E+03	2.46E+02	5.54E+03
27.0	31.84	1.62	9.13E+03	2.47E+02	5.55E+03
27.1	32.24	1.64	9.14E+03	2.47E+02	5.56E+03
27.2	32.64	1.66	9.16E+03	2.48E+02	5.57E+03
27.3	33.04	1.68	9.18E+03	2.48E+02	5.58E+03
27.4	33.46	1.70	9.19E+03	2.48E+02	5.59E+03
27.5	33.87	1.72	9.21E+03	2.49E+02	5.60E+03
27.6	34.30	1.74	9.23E+03	2.49E+02	5.62E+03
27.7	34.72	1.76	9.25E+03	2.50E+02	5.63E+03
27.8	35.15	1.78	9.26E+03	2.50E+02	5.64E+03
27.9	35.58	1.80	9.28E+03	2.51E+02	5.65E+03
28.0	36.01	1.83	9.30E+03	2.51E+02	5.66E+03
28.1	36.45	1.85	9.32E+03	2.52E+02	5.67E+03
28.2	36.89	1.87	9.34E+03	2.52E+02	5.68E+03
28.3	37.33	1.89	9.36E+03	2.53E+02	5.69E+03
28.4	37.76	1.92	9.37E+03	2.53E+02	5.71E+03
28.5	38.20	1.94	9.40E+03	2.54E+02	5.72E+03
28.6	38.64	1.96	9.42E+03	2.54E+02	5.73E+03
28.7	39.08	1.98	9.44E+03	2.55E+02	5.74E+03
28.8	39.52	2.00	9.46E+03	2.56E+02	5.76E+03
28.9	39.96	2.03	9.48E+03	2.56E+02	5.77E+03
29.0	40.39	2.05	9.50E+03	2.57E+02	5.78E+03
29.1	40.82	2.07	9.52E+03	2.57E+02	5.79E+03
29.2	41.25	2.09	9.54E+03	2.58E+02	5.81E+03
29.3	41.68	2.11	9.56E+03	2.58E+02	5.82E+03
29.4	42.10	2.14	9.59E+03	2.59E+02	5.83E+03
29.5	42.52	2.16	9.61E+03	2.60E+02	5.85E+03
29.6	42.93	2.18	9.63E+03	2.60E+02	5.86E+03
29.7	43.34	2.20	9.65E+03	2.61E+02	5.88E+03
29.8	43.75	2.22	9.68E+03	2.62E+02	5.89E+03
29.9	44.15	2.24	9.70E+03	2.62E+02	5.90E+03
30.0	44.54	2.28	9.73E+03	2.63E+02	5.92E+03
30.1	44.93	2.30	9.75E+03	2.64E+02	5.93E+03
30.2	45.31	2.32	9.77E+03	2.64E+02	5.95E+03
30.3	45.68	2.34	9.80E+03	2.65E+02	5.96E+03
30.4	46.04	2.36	9.82E+03	2.66E+02	5.98E+03
30.5	46.40	2.37	9.85E+03	2.66E+02	5.99E+03
30.6	46.75	2.39	9.88E+03	2.67E+02	6.01E+03
30.7	47.09	2.41	9.90E+03	2.68E+02	6.03E+03
30.8	47.43	2.43	9.93E+03	2.68E+02	6.04E+03
30.9	47.75	2.44	9.95E+03	2.69E+02	6.06E+03
31.0	48.07	2.46	9.98E+03	2.70E+02	6.07E+03
31.1	48.37	2.47	1.00E+04	2.70E+02	6.09E+03
31.2	48.67	2.49	1.00E+04	2.71E+02	6.11E+03
31.3	48.96	2.50	1.01E+04	2.72E+02	6.12E+03
31.4	49.23	2.52	1.01E+04	2.73E+02	6.14E+03
31.5	49.50	2.53	1.01E+04	2.73E+02	6.16E+03
31.6	49.76	2.55	1.01E+04	2.74E+02	6.17E+03
31.7	50.00	2.56	1.02E+04	2.75E+02	6.19E+03
31.8	50.23	2.57	1.02E+04	2.76E+02	6.21E+03
31.9	50.46	2.58	1.02E+04	2.76E+02	6.23E+03
32.0	50.67	2.59	1.03E+04	2.77E+02	6.24E+03
32.1	50.87	2.60	1.03E+04	2.78E+02	6.26E+03
32.2	51.06	2.61	1.03E+04	2.79E+02	6.28E+03
32.3	51.24	2.62	1.03E+04	2.80E+02	6.30E+03
32.4	51.40	2.63	1.04E+04	2.80E+02	6.31E+03
32.5	51.56	2.64	1.04E+04	2.81E+02	6.33E+03
32.6	51.70	2.65	1.04E+04	2.82E+02	6.35E+03
32.7	51.84	2.65	1.05E+04	2.83E+02	6.37E+03
32.8	51.96	2.66	1.05E+04	2.84E+02	6.39E+03
32.9	52.07	2.66	1.05E+04	2.84E+02	6.40E+03
33.0	52.17	2.67	1.06E+04	2.85E+02	6.42E+03
33.1	52.26	2.67	1.06E+04	2.86E+02	6.44E+03
33.2	52.33	2.68	1.06E+04	2.87E+02	6.46E+03
33.3	52.40	2.68	1.06E+04	2.88E+02	6.48E+03
33.4	52.46	2.68	1.07E+04	2.89E+02	6.50E+03
33.5	52.50	2.69	1.07E+04	2.89E+02	6.52E+03
33.6	52.53	2.69	1.07E+04	2.90E+02	6.53E+03
33.7	52.56	2.69	1.08E+04	2.91E+02	6.55E+03
33.8	52.57	2.69	1.08E+04	2.92E+02	6.57E+03
33.9	52.57	2.69	1.08E+04	2.93E+02	6.59E+03
34.0	52.57	2.69	1.09E+04	2.94E+02	6.61E+03
34.1	52.55	2.69	1.09E+04	2.94E+02	6.63E+03
34.2	52.52	2.69	1.09E+04	2.95E+02	6.65E+03
34.3	52.48	2.69	1.10E+04	2.96E+02	6.67E+03
34.4	52.43	2.68	1.10E+04	2.97E+02	6.69E+03
34.5	52.37	2.68	1.10E+04	2.98E+02	6.71E+03
34.6	52.31	2.68	1.11E+04	2.99E+02	6.73E+03
34.7	52.23	2.67	1.11E+04	3.00E+02	6.74E+03
34.8	52.14	2.67	1.11E+04	3.00E+02	6.76E+03
34.9	52.05	2.66	1.11E+04	3.01E+02	6.78E+03
35.0	51.95	2.60	1.12E+04	3.02E+02	6.80E+03
