natTi(p,x)46Sc


	fit	fit
Energy	Pade	Uncert.	Phys. yield	Phys. yield	1 h irrad.
MeV	mb	mb	(MBq/uAh)	(uCi/uAh)	(MBq/uA)
7.0	0.02	0.001	1.64E-06	4.44E-05	1.64E-03
7.1	0.04	0.001	4.26E-06	1.15E-04	4.26E-03
7.2	0.05	0.002	7.88E-06	2.13E-04	7.88E-03
7.3	0.06	0.002	1.25E-05	3.39E-04	1.25E-02
7.4	0.07	0.003	1.83E-05	4.94E-04	1.83E-02
7.5	0.09	0.004	2.51E-05	6.78E-04	2.51E-02
7.6	0.10	0.004	3.31E-05	8.94E-04	3.31E-02
7.7	0.12	0.005	4.22E-05	1.14E-03	4.22E-02
7.8	0.13	0.005	5.26E-05	1.42E-03	5.26E-02
7.9	0.14	0.006	6.43E-05	1.74E-03	6.42E-02
8.0	0.16	0.006	7.72E-05	2.09E-03	7.72E-02
8.1	0.17	0.007	9.14E-05	2.47E-03	9.14E-02
8.2	0.19	0.008	1.07E-04	2.89E-03	1.07E-01
8.3	0.20	0.008	1.24E-04	3.35E-03	1.24E-01
8.4	0.22	0.009	1.42E-04	3.85E-03	1.42E-01
8.5	0.23	0.009	1.62E-04	4.39E-03	1.62E-01
8.6	0.25	0.010	1.84E-04	4.97E-03	1.84E-01
8.7	0.27	0.011	2.07E-04	5.59E-03	2.07E-01
8.8	0.28	0.011	2.31E-04	6.25E-03	2.31E-01
8.9	0.30	0.012	2.58E-04	6.96E-03	2.58E-01
9.0	0.32	0.035	2.86E-04	7.72E-03	2.86E-01
9.1	0.33	0.037	3.15E-04	8.52E-03	3.15E-01
9.2	0.35	0.039	3.47E-04	9.37E-03	3.47E-01
9.3	0.37	0.041	3.80E-04	1.03E-02	3.80E-01
9.4	0.39	0.043	4.16E-04	1.12E-02	4.15E-01
9.5	0.41	0.045	4.53E-04	1.22E-02	4.53E-01
9.6	0.42	0.047	4.92E-04	1.33E-02	4.92E-01
9.7	0.44	0.049	5.33E-04	1.44E-02	5.33E-01
9.8	0.46	0.051	5.77E-04	1.56E-02	5.77E-01
9.9	0.48	0.053	6.22E-04	1.68E-02	6.22E-01
10.0	0.50	0.055	6.70E-04	1.81E-02	6.70E-01
10.1	0.52	0.057	7.20E-04	1.95E-02	7.20E-01
10.2	0.54	0.060	7.73E-04	2.09E-02	7.72E-01
10.3	0.56	0.062	8.27E-04	2.24E-02	8.27E-01
10.4	0.58	0.064	8.85E-04	2.39E-02	8.84E-01
10.5	0.61	0.067	9.44E-04	2.55E-02	9.44E-01
10.6	0.63	0.069	1.01E-03	2.72E-02	1.01E+00
10.7	0.65	0.071	1.07E-03	2.90E-02	1.07E+00
10.8	0.67	0.074	1.14E-03	3.08E-02	1.14E+00
10.9	0.69	0.076	1.21E-03	3.27E-02	1.21E+00
11.0	0.72	0.074	1.28E-03	3.47E-02	1.28E+00
11.1	0.74	0.076	1.36E-03	3.67E-02	1.36E+00
11.2	0.77	0.079	1.44E-03	3.89E-02	1.44E+00
11.3	0.79	0.081	1.52E-03	4.11E-02	1.52E+00
11.4	0.81	0.084	1.60E-03	4.34E-02	1.60E+00
11.5	0.84	0.087	1.69E-03	4.58E-02	1.69E+00
11.6	0.86	0.089	1.78E-03	4.82E-02	1.78E+00
11.7	0.89	0.092	1.88E-03	5.08E-02	1.88E+00
11.8	0.92	0.094	1.98E-03	5.35E-02	1.98E+00
11.9	0.94	0.10	2.08E-03	5.62E-02	2.08E+00
12.0	0.97	0.10	2.18E-03	5.90E-02	2.18E+00
12.1	1.00	0.10	2.29E-03	6.20E-02	2.29E+00
12.2	1.02	0.11	2.41E-03	6.50E-02	2.41E+00
12.3	1.05	0.11	2.52E-03	6.82E-02	2.52E+00
12.4	1.08	0.11	2.64E-03	7.14E-02	2.64E+00
12.5	1.11	0.11	2.77E-03	7.48E-02	2.77E+00
12.6	1.14	0.12	2.89E-03	7.82E-02	2.89E+00
12.7	1.17	0.12	3.03E-03	8.18E-02	3.03E+00
12.8	1.20	0.12	3.16E-03	8.55E-02	3.16E+00
12.9	1.23	0.13	3.30E-03	8.93E-02	3.30E+00
13.0	1.26	0.10	3.45E-03	9.32E-02	3.45E+00
13.1	1.29	0.10	3.60E-03	9.73E-02	3.60E+00
13.2	1.32	0.11	3.75E-03	1.01E-01	3.75E+00
13.3	1.35	0.11	3.91E-03	1.06E-01	3.91E+00
13.4	1.39	0.11	4.07E-03	1.10E-01	4.07E+00
13.5	1.42	0.11	4.24E-03	1.15E-01	4.24E+00
13.6	1.45	0.12	4.42E-03	1.19E-01	4.42E+00
13.7	1.49	0.12	4.59E-03	1.24E-01	4.59E+00
13.8	1.52	0.12	4.78E-03	1.29E-01	4.78E+00
13.9	1.56	0.13	4.97E-03	1.34E-01	4.97E+00
14.0	1.59	0.13	5.16E-03	1.39E-01	5.16E+00
14.1	1.63	0.13	5.36E-03	1.45E-01	5.36E+00
14.2	1.67	0.13	5.56E-03	1.50E-01	5.56E+00
14.3	1.70	0.14	5.78E-03	1.56E-01	5.77E+00
14.4	1.74	0.14	5.99E-03	1.62E-01	5.99E+00
14.5	1.78	0.14	6.21E-03	1.68E-01	6.21E+00
14.6	1.82	0.15	6.44E-03	1.74E-01	6.44E+00
14.7	1.86	0.15	6.68E-03	1.80E-01	6.68E+00
14.8	1.90	0.15	6.92E-03	1.87E-01	6.92E+00
14.9	1.94	0.16	7.17E-03	1.94E-01	7.16E+00
15.0	1.98	0.12	7.42E-03	2.01E-01	7.42E+00
15.1	2.02	0.12	7.68E-03	2.08E-01	7.68E+00
15.2	2.06	0.12	7.95E-03	2.15E-01	7.95E+00
15.3	2.10	0.13	8.22E-03	2.22E-01	8.22E+00
15.4	2.15	0.13	8.51E-03	2.30E-01	8.51E+00
15.5	2.19	0.13	8.80E-03	2.38E-01	8.80E+00
15.6	2.24	0.14	9.09E-03	2.46E-01	9.09E+00
15.7	2.28	0.14	9.40E-03	2.54E-01	9.40E+00
15.8	2.33	0.14	9.71E-03	2.63E-01	9.71E+00
15.9	2.37	0.14	1.00E-02	2.71E-01	1.00E+01
16.0	2.42	0.15	1.04E-02	2.80E-01	1.04E+01
16.1	2.47	0.15	1.07E-02	2.89E-01	1.07E+01
16.2	2.51	0.15	1.11E-02	2.99E-01	1.11E+01
16.3	2.56	0.16	1.14E-02	3.08E-01	1.14E+01
16.4	2.61	0.16	1.18E-02	3.18E-01	1.18E+01
16.5	2.66	0.16	1.21E-02	3.28E-01	1.21E+01
16.6	2.71	0.16	1.25E-02	3.39E-01	1.25E+01
16.7	2.76	0.17	1.29E-02	3.49E-01	1.29E+01
16.8	2.81	0.17	1.33E-02	3.60E-01	1.33E+01
16.9	2.87	0.17	1.37E-02	3.71E-01	1.37E+01
17.0	2.92	0.18	1.41E-02	3.82E-01	1.41E+01
17.1	2.97	0.18	1.46E-02	3.93E-01	1.46E+01
17.2	3.02	0.18	1.50E-02	4.05E-01	1.50E+01
17.3	3.08	0.19	1.54E-02	4.17E-01	1.54E+01
17.4	3.13	0.19	1.59E-02	4.29E-01	1.59E+01
17.5	3.19	0.19	1.63E-02	4.41E-01	1.63E+01
17.6	3.25	0.20	1.68E-02	4.54E-01	1.68E+01
17.7	3.30	0.20	1.73E-02	4.67E-01	1.73E+01
17.8	3.36	0.20	1.77E-02	4.80E-01	1.77E+01
17.9	3.42	0.21	1.82E-02	4.93E-01	1.82E+01
18.0	3.48	0.21	1.87E-02	5.07E-01	1.87E+01
18.1	3.54	0.21	1.93E-02	5.21E-01	1.93E+01
18.2	3.60	0.22	1.98E-02	5.35E-01	1.98E+01
18.3	3.66	0.22	2.03E-02	5.50E-01	2.03E+01
18.4	3.72	0.23	2.09E-02	5.65E-01	2.09E+01
18.5	3.78	0.23	2.15E-02	5.80E-01	2.15E+01
18.6	3.84	0.23	2.20E-02	5.96E-01	2.20E+01
18.7	3.91	0.24	2.26E-02	6.12E-01	2.26E+01
18.8	3.97	0.24	2.32E-02	6.28E-01	2.32E+01
18.9	4.04	0.24	2.39E-02	6.45E-01	2.39E+01
19.0	4.10	0.25	2.45E-02	6.62E-01	2.45E+01
19.1	4.17	0.25	2.51E-02	6.79E-01	2.51E+01
19.2	4.23	0.26	2.58E-02	6.97E-01	2.58E+01
19.3	4.30	0.26	2.65E-02	7.16E-01	2.65E+01
19.4	4.36	0.26	2.72E-02	7.34E-01	2.72E+01
19.5	4.43	0.27	2.79E-02	7.53E-01	2.79E+01
19.6	4.50	0.27	2.86E-02	7.72E-01	2.86E+01
19.7	4.57	0.28	2.93E-02	7.92E-01	2.93E+01
19.8	4.64	0.28	3.01E-02	8.12E-01	3.00E+01
19.9	4.71	0.28	3.08E-02	8.33E-01	3.08E+01
20.0	4.78	0.21	3.16E-02	8.54E-01	3.16E+01
20.1	4.85	0.22	3.24E-02	8.75E-01	3.24E+01
20.2	4.92	0.22	3.32E-02	8.97E-01	3.32E+01
20.3	4.99	0.22	3.40E-02	9.19E-01	3.40E+01
20.4	5.06	0.23	3.48E-02	9.42E-01	3.48E+01
20.5	5.13	0.23	3.57E-02	9.64E-01	3.57E+01
20.6	5.20	0.23	3.66E-02	9.88E-01	3.65E+01
20.7	5.27	0.24	3.74E-02	1.01E+00	3.74E+01
20.8	5.35	0.24	3.83E-02	1.04E+00	3.83E+01
20.9	5.42	0.24	3.92E-02	1.06E+00	3.92E+01
21.0	5.49	0.25	4.02E-02	1.09E+00	4.02E+01
21.1	5.57	0.25	4.11E-02	1.11E+00	4.11E+01
21.2	5.64	0.25	4.21E-02	1.14E+00	4.21E+01
21.3	5.71	0.26	4.31E-02	1.16E+00	4.30E+01
21.4	5.79	0.26	4.41E-02	1.19E+00	4.40E+01
21.5	5.86	0.26	4.51E-02	1.22E+00	4.51E+01
21.6	5.93	0.27	4.61E-02	1.25E+00	4.61E+01
21.7	6.01	0.27	4.71E-02	1.27E+00	4.71E+01
21.8	6.08	0.27	4.82E-02	1.30E+00	4.82E+01
21.9	6.15	0.28	4.93E-02	1.33E+00	4.93E+01
22.0	6.23	0.28	5.04E-02	1.36E+00	5.03E+01
22.1	6.30	0.28	5.15E-02	1.39E+00	5.15E+01
22.2	6.37	0.29	5.26E-02	1.42E+00	5.26E+01
22.3	6.44	0.29	5.37E-02	1.45E+00	5.37E+01
22.4	6.52	0.29	5.49E-02	1.48E+00	5.49E+01
22.5	6.59	0.29	5.61E-02	1.52E+00	5.61E+01
22.6	6.66	0.30	5.73E-02	1.55E+00	5.72E+01
22.7	6.73	0.30	5.85E-02	1.58E+00	5.85E+01
22.8	6.80	0.30	5.97E-02	1.61E+00	5.97E+01
22.9	6.87	0.31	6.09E-02	1.65E+00	6.09E+01
23.0	6.94	0.31	6.22E-02	1.68E+00	6.22E+01
23.1	7.01	0.31	6.35E-02	1.72E+00	6.34E+01
23.2	7.08	0.32	6.47E-02	1.75E+00	6.47E+01
23.3	7.15	0.32	6.61E-02	1.79E+00	6.60E+01
23.4	7.22	0.32	6.74E-02	1.82E+00	6.74E+01
23.5	7.28	0.33	6.87E-02	1.86E+00	6.87E+01
23.6	7.35	0.33	7.01E-02	1.89E+00	7.01E+01
23.7	7.41	0.33	7.14E-02	1.93E+00	7.14E+01
23.8	7.48	0.33	7.28E-02	1.97E+00	7.28E+01
23.9	7.54	0.34	7.42E-02	2.01E+00	7.42E+01
24.0	7.61	0.34	7.57E-02	2.04E+00	7.56E+01
24.1	7.67	0.34	7.71E-02	2.08E+00	7.71E+01
24.2	7.73	0.35	7.85E-02	2.12E+00	7.85E+01
24.3	7.79	0.35	8.00E-02	2.16E+00	8.00E+01
24.4	7.85	0.35	8.15E-02	2.20E+00	8.15E+01
24.5	7.91	0.35	8.30E-02	2.24E+00	8.30E+01
24.6	7.97	0.36	8.45E-02	2.28E+00	8.45E+01
24.7	8.02	0.36	8.60E-02	2.33E+00	8.60E+01
24.8	8.08	0.36	8.76E-02	2.37E+00	8.76E+01
24.9	8.14	0.36	8.91E-02	2.41E+00	8.91E+01
25.0	8.19	0.36	9.07E-02	2.45E+00	9.07E+01
25.1	8.24	0.36	9.23E-02	2.50E+00	9.23E+01
25.2	8.30	0.36	9.39E-02	2.54E+00	9.39E+01
25.3	8.35	0.36	9.55E-02	2.58E+00	9.55E+01
25.4	8.40	0.37	9.72E-02	2.63E+00	9.72E+01
25.5	8.45	0.37	9.88E-02	2.67E+00	9.88E+01
25.6	8.51	0.37	1.01E-01	2.72E+00	1.00E+02
25.7	8.56	0.37	1.02E-01	2.76E+00	1.02E+02
25.8	8.61	0.38	1.04E-01	2.81E+00	1.04E+02
25.9	8.66	0.38	1.06E-01	2.85E+00	1.06E+02
26.0	8.71	0.38	1.07E-01	2.90E+00	1.07E+02
26.1	8.76	0.38	1.09E-01	2.95E+00	1.09E+02
26.2	8.82	0.38	1.11E-01	3.00E+00	1.11E+02
26.3	8.87	0.39	1.13E-01	3.04E+00	1.13E+02
26.4	8.92	0.39	1.14E-01	3.09E+00	1.14E+02
26.5	8.98	0.39	1.16E-01	3.14E+00	1.16E+02
26.6	9.03	0.39	1.18E-01	3.19E+00	1.18E+02
26.7	9.09	0.40	1.20E-01	3.24E+00	1.20E+02
26.8	9.15	0.40	1.22E-01	3.29E+00	1.22E+02
26.9	9.21	0.40	1.24E-01	3.34E+00	1.24E+02
27.0	9.27	0.40	1.26E-01	3.39E+00	1.25E+02
27.1	9.34	0.41	1.27E-01	3.44E+00	1.27E+02
27.2	9.40	0.41	1.29E-01	3.50E+00	1.29E+02
27.3	9.47	0.41	1.31E-01	3.55E+00	1.31E+02
27.4	9.54	0.42	1.33E-01	3.60E+00	1.33E+02
27.5	9.62	0.42	1.35E-01	3.66E+00	1.35E+02
27.6	9.70	0.42	1.37E-01	3.71E+00	1.37E+02
27.7	9.78	0.43	1.39E-01	3.77E+00	1.39E+02
27.8	9.87	0.43	1.41E-01	3.82E+00	1.41E+02
27.9	9.96	0.43	1.43E-01	3.88E+00	1.43E+02
28.0	10.06	0.44	1.46E-01	3.94E+00	1.46E+02
28.1	10.16	0.44	1.48E-01	3.99E+00	1.48E+02
