natTi(p,x)48V


	fit	fit
Energy	Pade	Uncert.	Phys. yield	Phys. yield	1 h irrad.
MeV	mb	mb	(MBq/uAh)	(uCi/uAh)	(MBq/uA)
3.8	0.18	0.007	4.39E-05	1.19E-03	4.39E-05
3.9	0.19	0.007	9.05E-05	2.45E-03	9.05E-05
4.0	0.38	0.02	1.87E-04	5.07E-03	1.87E-04
4.1	0.58	0.02	3.39E-04	9.16E-03	3.39E-04
4.2	0.83	0.03	5.60E-04	1.51E-02	5.60E-04
4.3	1.33	0.05	9.21E-04	2.49E-02	9.21E-04
4.4	1.66	0.07	1.38E-03	3.73E-02	1.38E-03
4.5	2.08	0.08	1.96E-03	5.31E-02	1.96E-03
4.6	2.58	0.10	2.70E-03	7.29E-02	2.70E-03
4.7	3.10	0.12	3.59E-03	9.71E-02	3.59E-03
4.8	3.83	0.15	4.71E-03	1.27E-01	4.71E-03
4.9	5.41	0.22	6.31E-03	1.71E-01	6.31E-03
5.0	8.30	8.30	8.81E-03	2.38E-01	8.80E-03
5.1	14.10	14.10	1.31E-02	3.54E-01	1.31E-02
5.2	22.80	22.80	2.01E-02	5.44E-01	2.01E-02
5.3	34.53	34.53	3.09E-02	8.36E-01	3.09E-02
5.4	50.34	50.34	4.69E-02	1.27E+00	4.68E-02
5.5	67.63	67.63	6.86E-02	1.85E+00	6.85E-02
5.6	85.76	85.76	9.64E-02	2.61E+00	9.63E-02
5.7	104.15	104.15	1.31E-01	3.53E+00	1.31E-01
5.8	122.16	122.16	1.71E-01	4.63E+00	1.71E-01
5.9	139.20	139.20	2.18E-01	5.90E+00	2.18E-01
6.0	154.64	7.88	2.71E-01	7.32E+00	2.71E-01
6.1	168.03	8.57	3.29E-01	8.89E+00	3.28E-01
6.2	179.46	9.15	3.91E-01	1.06E+01	3.91E-01
6.3	189.19	9.64	4.58E-01	1.24E+01	4.58E-01
6.4	197.47	10.07	5.28E-01	1.43E+01	5.28E-01
6.5	204.55	10.43	6.02E-01	1.63E+01	6.01E-01
6.6	210.68	10.74	6.79E-01	1.83E+01	6.78E-01
6.7	216.12	11.02	7.58E-01	2.05E+01	7.58E-01
6.8	221.11	11.27	8.41E-01	2.27E+01	8.40E-01
6.9	225.90	11.52	9.26E-01	2.50E+01	9.25E-01
7.0	230.75	9.86	1.01E+00	2.74E+01	1.01E+00
7.1	235.86	10.08	1.11E+00	2.99E+01	1.10E+00
7.2	241.24	10.31	1.20E+00	3.25E+01	1.20E+00
7.3	246.84	10.55	1.30E+00	3.51E+01	1.30E+00
7.4	252.63	10.79	1.40E+00	3.79E+01	1.40E+00
7.5	258.57	11.05	1.51E+00	4.07E+01	1.51E+00
7.6	264.61	11.30	1.62E+00	4.37E+01	1.61E+00
7.7	270.72	11.57	1.73E+00	4.67E+01	1.73E+00
7.8	276.86	11.83	1.84E+00	4.99E+01	1.84E+00
7.9	282.98	12.09	1.96E+00	5.31E+01	1.96E+00
8.0	289.04	13.17	2.09E+00	5.64E+01	2.09E+00
8.1	295.02	13.44	2.22E+00	5.99E+01	2.21E+00
8.2	300.89	13.71	2.35E+00	6.34E+01	2.34E+00
8.3	306.63	13.97	2.48E+00	6.70E+01	2.48E+00
8.4	312.25	14.22	2.62E+00	7.07E+01	2.62E+00
8.5	317.73	14.47	2.76E+00	7.46E+01	2.76E+00
8.6	323.04	14.72	2.90E+00	7.85E+01	2.90E+00
8.7	328.19	14.95	3.05E+00	8.25E+01	3.05E+00
8.8	333.16	15.18	3.20E+00	8.66E+01	3.20E+00
8.9	337.94	15.39	3.36E+00	9.08E+01	3.36E+00
9.0	342.52	15.18	3.52E+00	9.50E+01	3.51E+00
9.1	346.87	15.38	3.68E+00	9.94E+01	3.68E+00
9.2	351.01	15.56	3.84E+00	1.04E+02	3.84E+00
9.3	354.93	15.73	4.01E+00	1.08E+02	4.01E+00
9.4	358.63	15.90	4.18E+00	1.13E+02	4.18E+00
9.5	362.11	16.05	4.36E+00	1.18E+02	4.35E+00
9.6	365.36	16.19	4.53E+00	1.23E+02	4.53E+00
9.7	368.38	16.33	4.71E+00	1.27E+02	4.71E+00
